2321386104303845 ;0 correct
5616185650518293 ;2 correct
3847439647293047 ;1 correct
5855462940810587 ;3 correct
9742855507068353 ;3 correct
4296849643607543 ;3 correct
3174248439465858 ;1 correct
4513559094146117 ;2 correct
7890971548908067 ;3 correct
8157356344118483 ;1 correct
2615250744386899 ;2 correct
8690095851526254 ;3 correct
6375711915077050 ;1 correct
6913859173121360 ;1 correct
6442889055042768 ;2 correct
2326509471271448 ;2 correct
5251583379644322 ;2 correct
1748270476758276 ;3 correct
4895722652190306 ;1 correct
3041631117224635 ;3 correct
1841236454324589 ;3 correct
2659862637316867 ;2 correct

----------------------------

56161X5650518293 ;2 correct
384743964729X0X7 ;1 correct
5855462940810587 ;3 correct
97428555X7068353 ;3 correct
42968496436X75X3 ;3 correct
3174248439465X58 ;1 correct
451355909X146117 ;2 correct
78909715489X8067 ;3 correct
8157X5X34X118483 ;1 correct
X61525074XX86X99 ;2 correct
8690095851526254 ;3 correct
6X75711915077050 ;1 correct
6913859X73121360 ;1 correct
64428X9055042768 ;2 correct
XXX65094712714X8 ;2 correct
525X5X3379644322 ;2 correct
1748270476758276 ;3 correct
4895722652190306 ;1 correct
304X631X1722463X ;3 correct
184X23X45XX24589 ;3 correct
X659862637X16X67 ;2 correct
